Year,chicks_deploy,chicks_deploy_na,chick_recov,days,NAO,NAO1,NAO2,NAO_SON,NAO_SON1,NAO_SON2,NAO_DJFM,NAO_DJFM1,NAO_DJFM2,SOI,SOI1,SOI2,SOI_SON,SOI_SON1,SOI_SON2,SOI_DJFM,SOI_DJFM1,SOI_DJFM2,WNAO,WNAO1,WNAO2,WSOI,WSOI1,WSOI2
1992,444,444,1,88,1.104166667,0.339166667,1.228333333,0.52,0.63,-0.12,1.73,0.54,1.92,-1.2275,-1.013333333,-0.325833333,-0.936666667,-1.32,-0.543333333,-2.1925,-0.335,-0.9275,1.125,0.585,0.9,-1.564583333,-0.8275,-0.735416667
1993,216,216,1,88,0.124166667,1.104166667,0.339166667,-1.41,0.52,0.63,1.74,1.73,0.54,-1.106666667,-1.2275,-1.013333333,-0.826666667,-0.936666667,-1.32,-0.9325,-2.1925,-0.335,0.165,1.125,0.585,-0.879583333,-1.564583333,-0.8275
1994,458,458,1,72,0.5075,0.124166667,1.104166667,-0.41,-1.41,0.52,0.86,1.74,1.73,-1.353333333,-1.106666667,-1.2275,-1.363333333,-0.826666667,-0.936666667,-0.3975,-0.9325,-2.1925,0.225,0.165,1.125,-0.880416667,-0.879583333,-1.564583333
1995,567,567,1,83,-0.61,0.5075,0.124166667,-1.14,-0.41,-1.41,1.29,0.86,1.74,-0.335833333,-1.353333333,-1.106666667,-0.026666667,-1.363333333,-0.826666667,-0.5075,-0.3975,-0.9325,0.075,0.225,0.165,-0.267083333,-0.880416667,-0.879583333
1996,634,634,1,77,-1.009166667,-0.61,0.5075,0,-1.14,-0.41,-1.46,1.29,0.86,0.5625,-0.335833333,-1.353333333,0.236666667,-0.026666667,-1.363333333,0.1525,-0.5075,-0.3975,-0.73,0.075,0.225,0.194583333,-0.267083333,-0.880416667
1997,454,454,1,55,-0.1775,-1.009166667,-0.61,-1.03,0,-1.14,0.7,-1.46,1.29,-1.288333333,0.5625,-0.335833333,-1.516666667,0.236666667,-0.026666667,0.28,0.1525,-0.5075,-0.165,-0.73,0.075,-0.618333333,0.194583333,-0.267083333
1998,184,184,0,43,0.255833333,-0.1775,-1.009166667,-1.09,-1.03,0,-0.02,0.7,-1.46,-0.224166667,-1.288333333,0.5625,1.02,-1.516666667,0.236666667,-2.2325,0.28,0.1525,-0.555,-0.165,-0.73,-0.60625,-0.618333333,0.194583333
1999,295,295,0,65,0.045,0.255833333,-0.1775,0.54,-1.09,-1.03,0.64,-0.02,0.7,0.786666667,-0.224166667,-1.288333333,0.7,1.02,-1.516666667,1.065,-2.2325,0.28,0.59,-0.555,-0.165,0.8825,-0.60625,-0.618333333
2000,306,306,0,45,-0.039166667,0.045,0.255833333,0.64,0.54,-1.09,1.59,0.64,-0.02,0.7225,0.786666667,-0.224166667,1.286666667,0.7,1.02,0.99,1.065,-2.2325,1.115,0.59,-0.555,1.138333333,0.8825,-0.60625
2001,57,57,0,69,-0.453333333,-0.039166667,0.045,0.62,0.64,0.54,-1.01,1.59,0.64,-0.078333333,0.7225,0.786666667,0.123333333,1.286666667,0.7,0.7525,0.99,1.065,-0.195,1.115,0.59,0.437916667,1.138333333,0.8825
2002,720,720,1,79,-0.04,-0.453333333,-0.039166667,-1.95,0.62,0.64,0.61,-1.01,1.59,-0.723333333,-0.078333333,0.7225,-0.683333333,0.123333333,1.286666667,-0.2575,0.7525,0.99,-0.67,-0.195,1.115,-0.470416667,0.437916667,1.138333333
2003,619,619,1,79,-0.3025,-0.04,-0.453333333,-0.11,-1.95,0.62,0.04,0.61,-1.01,-0.426666667,-0.723333333,-0.078333333,-0.253333333,-0.683333333,0.123333333,-0.8525,-0.2575,0.7525,-0.035,-0.67,-0.195,-0.552916667,-0.470416667,0.437916667
2004,675,675,0,78,0.005,-0.3025,-0.04,0.01,-0.11,-1.95,-0.13,0.04,0.61,-0.633333333,-0.426666667,-0.723333333,-0.596666667,-0.253333333,-0.683333333,0.0675,-0.8525,-0.2575,-0.06,-0.035,-0.67,-0.264583333,-0.552916667,-0.470416667
2005,975, ,1,93,-0.254166667,0.005,-0.3025,-0.04,0.01,-0.11,0.34,-0.13,0.04,-0.456666667,-0.633333333,-0.426666667,0.346666667,-0.596666667,-0.253333333,-0.9975,0.0675,-0.8525,0.15,-0.06,-0.035,-0.325416667,-0.264583333,-0.552916667
2006,550,550,1,76,-0.176666667,-0.254166667,0.005,-0.08,-0.04,0.01,-0.91,0.34,-0.13,-0.2825,-0.456666667,-0.633333333,-0.69,0.346666667,-0.596666667,0.625,-0.9975,0.0675,-0.495,0.15,-0.06,-0.0325,-0.325416667,-0.264583333
2007,613,613,0,57,-0.381666667,-0.176666667,-0.254166667,-0.22,-0.08,-0.04,1.16,-0.91,0.34,0.035,-0.2825,-0.456666667,0.46,-0.69,0.346666667,-0.475,0.625,-0.9975,0.47,-0.495,0.15,-0.0075,-0.0325,-0.325416667
2008,323,323,0,66,-0.680833333,-0.381666667,-0.176666667,1.14,-0.22,-0.08,1.05,1.16,-0.91,0.9975,0.035,-0.2825,1.473333333,0.46,-0.69,1.53,-0.475,0.625,1.095,0.47,-0.495,1.501666667,-0.0075,-0.0325
2009,546,546,1,58,-0.3775,-0.680833333,-0.381666667,0.48,1.14,-0.22,0.03,1.05,1.16,-0.131666667,0.9975,0.035,-0.66,1.473333333,0.46,0.86,1.53,-0.475,0.255,1.095,0.47,0.1,1.501666667,-0.0075
2010,666,666,1,41,-2.344166667,-0.3775,-0.680833333,-1.55,0.48,1.14,-2.56,0.03,1.05,0.944166667,-0.131666667,0.9975,1.953333333,-0.66,1.473333333,-1.2675,0.86,1.53,-2.055,0.255,1.095,0.342916667,0.1,1.501666667
2011,869, ,1,55,0.4625,-2.344166667,-0.3775,1.77,-1.55,0.48,-0.69,-2.56,0.03,1.395833333,0.944166667,-0.131666667,1.153333333,1.953333333,-0.66,2.28,-1.2675,0.86,0.54,-2.055,0.255,1.716666667,0.342916667,0.1
2012,385,385,0,32,-0.630833333,0.4625,-2.344166667,0.25,1.77,-1.55,1.56,-0.69,-2.56,-0.18,1.395833333,0.944166667,0.24,1.153333333,1.953333333,0.9425,2.28,-1.2675,0.905,0.54,-2.055,0.59125,1.716666667,0.342916667
2013,232,232,1,41,0.588333333,-0.630833333,0.4625,0.4,0.25,1.77,-1.68,1.56,-0.69,0.345833333,-0.18,1.395833333,0.273333333,0.24,1.153333333,-0.07,0.9425,2.28,-0.64,0.905,0.54,0.101666667,0.59125,1.716666667
2014,191,191,1,43,0.095833333,0.588333333,-0.630833333,-0.82,0.4,0.25,0.91,-1.68,1.56,-0.381666667,0.345833333,-0.18,-0.826666667,0.273333333,0.24,-0.22,-0.07,0.9425,0.045,-0.64,0.905,-0.523333333,0.101666667,0.59125
2015,94,94,0,47,1.163333333,0.095833333,0.588333333,0.47,-0.82,0.4,1.84,0.91,-1.68,-1.174166667,-0.381666667,0.345833333,-1.396666667,-0.826666667,0.273333333,-0.7425,-0.22,-0.07,1.155,0.045,-0.64,-1.069583333,-0.523333333,0.101666667
2016,181,181,1,37,0.395833333,1.163333333,0.095833333,-0.98,0.47,-0.82,0.99,1.84,0.91,-0.456666667,-1.174166667,-0.381666667,0.13,-1.396666667,-0.826666667,-1.49,-0.7425,-0.22,0.005,1.155,0.045,-0.68,-1.069583333,-0.523333333
2017,268,268,1,49,0.5725,0.395833333,1.163333333,0.06,-0.98,0.47,0.87,0.99,1.84,0.109166667,-0.456666667,-1.174166667,0.77,0.13,-1.396666667,0.0875,-1.49,-0.7425,0.465,0.005,1.155,0.42875,-0.68,-1.069583333
2018,381,381,1,61,0.716666667,0.5725,0.395833333,-0.22,0.06,-0.98,-0.17,0.87,0.99,0.0875,0.109166667,-0.456666667,-0.266666667,0.77,0.13,0.235,0.0875,-1.49,-0.195,0.465,0.005,-0.015833333,0.42875,-0.68
2019,189,189,1,33,-0.03,0.716666667,0.5725,-0.88,-0.22,0.06,0.75,-0.17,0.87,-0.790833333,0.0875,0.109166667,-0.983333333,-0.266666667,0.77,-0.3925,0.235,0.0875,-0.065,-0.195,0.465,-0.687916667,-0.015833333,0.42875
2020,188,188,0,40,0.335833333,-0.03,0.716666667,1.3,-0.88,-0.22,1.79,0.75,-0.17,0.300833333,-0.790833333,0.0875,0.7,-0.983333333,-0.266666667,-0.445,-0.3925,0.235,1.545,-0.065,-0.195,0.1275,-0.687916667,-0.015833333
